,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
961,2018-08-19,6122.32622172884,6144.335860948961,8813.209153786753,6122.32622172884,6122.32622172884,1373.1232040239488,1373.1232040239488,1373.1232040239488,-8.873526080132612,-8.873526080132612,-8.873526080132612,1381.9967301040815,1381.9967301040815,1381.9967301040815,0.0,0.0,0.0,7495.4494257527895
962,2018-08-20,6107.535527846051,6184.82542580498,8939.56474884702,6107.535527846051,6107.535527846051,1390.7393457625988,1390.7393457625988,1390.7393457625988,18.715109601215342,18.715109601215342,18.715109601215342,1372.0242361613834,1372.0242361613834,1372.0242361613834,0.0,0.0,0.0,7498.27487360865
963,2018-08-21,6092.74483396326,5934.800986757719,8874.797888881893,6092.74483396326,6092.74483396326,1353.7044135275182,1353.7044135275182,1353.7044135275182,-4.365338354080274,-4.365338354080274,-4.365338354080274,1358.0697518815987,1358.0697518815987,1358.0697518815987,0.0,0.0,0.0,7446.449247490778
964,2018-08-22,6077.954140080469,6011.365185451223,8870.983280008348,6077.954140080469,6077.954140080469,1341.3283119890395,1341.3283119890395,1341.3283119890395,1.155602848066334,1.155602848066334,1.155602848066334,1340.172709140973,1340.172709140973,1340.172709140973,0.0,0.0,0.0,7419.2824520695085
965,2018-08-23,6063.163446197678,6002.229532098456,8749.739471204322,6063.163446197678,6063.163446197678,1299.9612217962717,1299.9612217962717,1299.9612217962717,-18.461655995174624,-18.461655995174624,-18.461655995174624,1318.4228777914461,1318.4228777914461,1318.4228777914461,0.0,0.0,0.0,7363.12466799395
966,2018-08-24,6048.372752314887,5900.570593262831,8862.963475696406,6048.372752314887,6048.372752314887,1289.5394087357931,1289.5394087357931,1289.5394087357931,-3.4202232500823673,-3.4202232500823673,-3.4202232500823673,1292.9596319858754,1292.9596319858754,1292.9596319858754,0.0,0.0,0.0,7337.912161050681
967,2018-08-25,6033.582058432096,5917.53513253532,8746.044900702549,6033.582058432096,6033.582058432096,1279.220001912192,1279.220001912192,1279.220001912192,15.250031230189753,15.250031230189753,15.250031230189753,1263.9699706820022,1263.9699706820022,1263.9699706820022,0.0,0.0,0.0,7312.802060344288
968,2018-08-26,6018.791364549307,5925.167064728782,8681.756532426052,6018.791364549307,6018.791364549307,1222.811774440029,1222.811774440029,1222.811774440029,-8.873526080145139,-8.873526080145139,-8.873526080145139,1231.6853005201742,1231.6853005201742,1231.6853005201742,0.0,0.0,0.0,7241.603138989336
969,2018-08-27,6004.000670666516,5844.394108553797,8589.709532827193,6004.000670666516,6004.000670666516,1215.0921382240779,1215.0921382240779,1215.0921382240779,18.715109601217883,18.715109601217883,18.715109601217883,1196.3770286228598,1196.3770286228598,1196.3770286228598,0.0,0.0,0.0,7219.092808890594
970,2018-08-28,5989.209976783725,5669.555607118938,8369.468722118068,5989.209976783725,5989.209976783725,1153.985713744204,1153.985713744204,1153.985713744204,-4.36533835410046,-4.36533835410046,-4.36533835410046,1158.3510520983045,1158.3510520983045,1158.3510520983045,0.0,0.0,0.0,7143.195690527929
971,2018-08-29,5974.419282900934,5714.5997538211395,8532.483870921804,5974.419282900934,5974.419282900934,1119.0968716820014,1119.0968716820014,1119.0968716820014,1.1556028480370508,1.1556028480370508,1.1556028480370508,1117.9412688339642,1117.9412688339642,1117.9412688339642,0.0,0.0,0.0,7093.516154582936
972,2018-08-30,5959.628589018143,5603.686779097759,8531.10605446207,5959.628589018143,5959.628589018143,1057.0406132570731,1057.0406132570731,1057.0406132570731,-18.4616559952417,-18.4616559952417,-18.4616559952417,1075.5022692523148,1075.5022692523148,1075.5022692523148,0.0,0.0,0.0,7016.669202275217
973,2018-08-31,5944.8378951353525,5511.8902234842935,8385.859402692187,5944.8378951353525,5944.8378951353525,1027.9811765707252,1027.9811765707252,1027.9811765707252,-3.4202232499979064,-3.4202232499979064,-3.4202232499979064,1031.401399820723,1031.401399820723,1031.401399820723,0.0,0.0,0.0,6972.819071706078
974,2018-09-01,5930.047201252563,5534.509731317178,8379.211433487475,5930.047201252563,5930.047201252563,1001.2604463623953,1001.2604463623953,1001.2604463623953,15.250031230206293,15.250031230206293,15.250031230206293,986.010415132189,986.010415132189,986.010415132189,0.0,0.0,0.0,6931.307647614959
975,2018-09-02,5915.256507369772,5330.577755742485,8308.576067574313,5915.256507369772,5915.256507369772,930.8234292078447,930.8234292078447,930.8234292078447,-8.873526080106593,-8.873526080106593,-8.873526080106593,939.6969552879514,939.6969552879514,939.6969552879514,0.0,0.0,0.0,6846.079936577617
976,2018-09-03,5900.46581348698,5362.057057596844,8230.016080936597,5900.46581348698,5900.46581348698,911.5312078855303,911.5312078855303,911.5312078855303,18.71510960119854,18.71510960119854,18.71510960119854,892.8160982843318,892.8160982843318,892.8160982843318,0.0,0.0,0.0,6811.99702137251
977,2018-09-04,5885.6751196041905,5331.636156294652,8151.674021084716,5885.6751196041905,5885.6751196041905,841.3369041613836,841.3369041613836,841.3369041613836,-4.36533835405896,-4.36533835405896,-4.36533835405896,845.7022425154424,845.7022425154424,845.7022425154424,0.0,0.0,0.0,6727.012023765574
978,2018-09-05,5870.8844257214,5301.033408465896,8024.3798867444275,5870.8844257214,5870.8844257214,799.8171747811555,799.8171747811555,799.8171747811555,1.1556028480077656,1.1556028480077656,1.1556028480077656,798.6615719331478,798.6615719331478,798.6615719331478,0.0,0.0,0.0,6670.701600502555
979,2018-09-06,5856.093731838609,5137.1037511942795,8104.058140956704,5856.093731838609,5856.093731838609,733.5036897191352,733.5036897191352,733.5036897191352,-18.46165599521685,-18.46165599521685,-18.46165599521685,751.9653457143521,751.9653457143521,751.9653457143521,0.0,0.0,0.0,6589.5974215577435
